POS,NAME,TEAM,RATING,CAREER BEST RATING,DATE
35,Henry Nicholls,NZ,581,"596 v Bangladesh, 20/03/2021",1979-04-19
36,Kyle Coetzer,SCO,575,"647 v Ireland, 18/03/2018",1979-04-19
37,Aqib Ilyas,OMA,574,"578 v United States, 11/02/2020",1979-04-19
38,Mahmudullah,BAN,571,"582 v Sri Lanka, 28/05/2021",1979-04-19
39,Brendan Taylor,ZIM,569,"667 v New Zealand, 09/02/2012",1979-04-19
40,Avishka Fernando,SL,568,"591 v South Africa, 02/09/2021",1979-04-19
41,Andrew Balbirnie,IRE,568,"584 v South Africa, 13/07/2021",1979-04-19
42,Rahmat Shah,AFG,559,"625 v Sri Lanka, 17/09/2018",1979-04-19
43,Evin Lewis,WI,558,"567 v Sri Lanka, 12/03/2021",1979-04-19
44,Litton Das,BAN,558,"573 v Zimbabwe, 06/03/2020",1979-04-19
45,Kedar Jadhav,IND,552,"629 v Afghanistan, 22/06/2019",1979-04-19
46,Kusal Perera,SL,551,"582 v England, 29/06/2021",1979-04-19
47,Hardik Pandya,IND,548,"561 v England, 28/03/2021",1979-04-19
48,Sean Williams,ZIM,545,"561 v Pakistan, 03/11/2020",1979-04-19
49,Sikandar Raza,ZIM,542,"576 v Afghanistan, 22/10/2015",1979-04-19
50,Angelo Mathews,SL,542,"707 v England, 07/12/2014",1979-04-19
51,Danushka Gunathilaka,SL,530,"554 v Bangladesh, 28/05/2021",1979-04-19
52,Imad Wasim,PAK,525,"556 v Bangladesh, 05/07/2019",1979-04-19
53,Soumya Sarkar,BAN,521,"671 v South Africa, 15/07/2015",1979-04-19
54,Kusal Mendis,SL,518,"631 v Zimbabwe, 30/06/2017",1979-04-19
55,Marcus Stoinis,AUS,517,"616 v India, 08/03/2019",1979-04-19
56,Colin de Grandhomme,NZ,507,"520 v Pakistan, 19/01/2018",1979-04-19
57,Najibullah Zadran,AFG,506,"518 v West Indies, 09/11/2019",1979-04-19
58,Sarfaraz Ahmed,PAK,504,"581 v West Indies, 05/10/2016",1979-04-19
