POS,NAME,TEAM,RATING,CAREER BEST RATING,DATE
41,Andrew Balbirnie,IRE,568,"584 v South Africa, 13/07/2021",1980-01-22
42,Rahmat Shah,AFG,559,"625 v Sri Lanka, 17/09/2018",1980-01-22
43,Evin Lewis,WI,558,"567 v Sri Lanka, 12/03/2021",1980-01-22
44,Litton Das,BAN,558,"573 v Zimbabwe, 06/03/2020",1980-01-22
45,Kedar Jadhav,IND,552,"629 v Afghanistan, 22/06/2019",1980-01-22
46,Kusal Perera,SL,551,"582 v England, 29/06/2021",1980-01-22
47,Hardik Pandya,IND,548,"561 v England, 28/03/2021",1980-01-22
48,Sean Williams,ZIM,545,"561 v Pakistan, 03/11/2020",1980-01-22
49,Sikandar Raza,ZIM,542,"576 v Afghanistan, 22/10/2015",1980-01-22
50,Angelo Mathews,SL,542,"707 v England, 07/12/2014",1980-01-22
51,Danushka Gunathilaka,SL,530,"554 v Bangladesh, 28/05/2021",1980-01-22
52,Imad Wasim,PAK,525,"556 v Bangladesh, 05/07/2019",1980-01-22
53,Soumya Sarkar,BAN,521,"671 v South Africa, 15/07/2015",1980-01-22
54,Kusal Mendis,SL,518,"631 v Zimbabwe, 30/06/2017",1980-01-22
55,Marcus Stoinis,AUS,517,"616 v India, 08/03/2019",1980-01-22
56,Colin de Grandhomme,NZ,507,"520 v Pakistan, 19/01/2018",1980-01-22
57,Najibullah Zadran,AFG,506,"518 v West Indies, 09/11/2019",1980-01-22
58,Sarfaraz Ahmed,PAK,504,"581 v West Indies, 05/10/2016",1980-01-22
59,Calum MacLeod,SCO,500,"585 v England, 10/06/2018",1980-01-22
60,Hashmatullah Shaidi,AFG,498,"519 v India, 22/06/2019",1980-01-22
61,Marnus Labuschagne,AUS,498,"532 v India, 29/11/2020",1980-01-22
62,Jimmy Neesham,NZ,495,"549 v Pakistan, 26/06/2019",1980-01-22
63,Niroshan Dickwella,SL,495,"518 v Bangladesh, 28/05/2021",1980-01-22
64,Mohammad Nabi,AFG,494,"545 v Bangladesh, 28/09/2016",1980-01-22
65,Mitchell Marsh,AUS,489,"641 v New Zealand, 06/12/2016",1980-01-22
66,Richard Berrington,SCO,487,"491 v Oman, 28/09/2021",1980-01-22
67,Kariyawasa Asalanka,SL,484,"484 v South Africa, 07/09/2021",1980-01-22
68,William Porterfield,IRE,484,"539 v UAE, 12/03/2018",1980-01-22
69,Asghar Afghan,AFG,479,"483 v West Indies, 11/11/2019",1980-01-22
70,Harry Tector,IRE,477,"477 v Zimbabwe, 13/09/2021",1980-01-22
71,Assad Vala,PNG,476,"476 v Oman, 01/10/2021",1980-01-22
72,Craig Ervine,ZIM,476,"524 v Afghanistan, 18/10/2015",1980-01-22
73,Aiden Markram,SA,476,"485 v Sri Lanka, 04/09/2021",1980-01-22
74,Heinrich Klaasen,SA,474,"499 v Australia, 07/03/2020",1980-01-22
75,Dhananjaya de Silva,SL,473,"482 v England, 01/07/2021",1980-01-22
76,Shreyas Iyer,IND,472,"513 v New Zealand, 11/02/2020",1980-01-22
77,Muhammad Usman,UAE,471,"478 v Ireland, 08/01/2021",1980-01-22
78,George Munsey,SCO,464,"464 v Oman, 02/10/2021",1980-01-22
79,Mitchell Santner,NZ,460,"502 v England, 10/03/2018",1980-01-22
80,Temba Bavuma,SA,460,"467 v Sri Lanka, 02/09/2021",1980-01-22
81,Jason Holder,WI,446,"455 v Australia, 22/07/2021",1980-01-22
82,Andile Phehlukwayo,SA,440,"450 v Pakistan, 07/04/2021",1980-01-22
83,Ravindra Jadeja,IND,434,"552 v West Indies, 08/10/2014",1980-01-22
84,Mithun Ali,BAN,433,"452 v New Zealand, 23/03/2021",1980-01-22
85,Rashid Khan,AFG,432,"477 v Ireland, 10/03/2019",1980-01-22
86,Lahiru Thirimanne,SL,429,"599 v West Indies, 04/11/2015",1980-01-22
87,Rishabh Pant,IND,426,"432 v England, 28/03/2021",1980-01-22
88,Dasun Shanaka,SL,424,"424 v South Africa, 07/09/2021",1980-01-22
89,Matthew Wade,AUS,424,"553 v Pakistan, 15/01/2017",1980-01-22
90,Rovman Powell,WI,419,"456 v India, 24/10/2018",1980-01-22
91,Kieron Pollard,WI,416,"602 v Zimbabwe, 24/02/2013",1980-01-22
92,Gulbadin Naib,AFG,415,"440 v Ireland, 28/02/2018",1980-01-22
93,Mohammad Rizwan,PAK,414,"426 v Australia, 29/03/2019",1980-01-22
94,Curtis Campher,IRE,412,"418 v South Africa, 16/07/2021",1980-01-22
95,Dinesh Chandimal,SL,409,"667 v Australia, 02/03/2012",1980-01-22
96,Zeeshan Maqsood,OMA,407,"407 v Namibia, 27/11/2021",1980-01-22
97,Max O'Dowd,NED,406,"406 v South Africa, 26/11/2021",1980-01-22
98,Matthew Cross,SCO,405,"427 v Oman, 18/08/2019",1980-01-22
99,Moeen Ali,ENG,404,"522 v West Indies, 27/09/2017",1980-01-22
100,Chris Woakes,ENG,403,"481 v Australia, 26/01/2018",1980-01-22
