POS,NAME,TEAM,RATING,CAREER BEST RATING,DATE
49,Keshav Maharaj,SA,476,"494 v Sri Lanka, 07/09/2021",1972-10-06
50,Blessing Muzarabani,ZIM,470,"470 v Ireland, 13/09/2021",1972-10-06
51,Mashrafe Mortaza,BAN,469,"653 v Zimbabwe, 23/01/2009",1972-10-06
52,Mohammad Mohammad Saifuddin,BAN,468,"496 v West Indies, 25/01/2021",1972-10-06
53,Zeeshan Maqsood,OMA,465,"465 v Namibia, 27/11/2021",1972-10-06
54,Joshua Little,IRE,463,"463 v Zimbabwe, 13/09/2021",1972-10-06
55,Jimmy Neesham,NZ,458,"458 v Bangladesh, 26/03/2021",1972-10-06
56,Tendai Chatara,ZIM,458,"562 v Ireland, 07/03/2015",1972-10-06
57,Andile Phehlukwayo,SA,456,"613 v Pakistan, 30/01/2019",1972-10-06
58,Saqib Mahmood,ENG,454,"454 v Pakistan, 13/07/2021",1972-10-06
59,Nuwan Pradeep,SL,453,"506 v England, 13/10/2018",1972-10-06
60,Jason Holder,WI,451,"486 v Sri Lanka, 10/03/2021",1972-10-06
61,Moeen Ali,ENG,449,"629 v Australia, 24/06/2018",1972-10-06
62,Wahab Riaz,PAK,447,"522 v England, 13/11/2015",1972-10-06
63,Faheem Ashraf,PAK,445,"477 v South Africa, 02/04/2021",1972-10-06
64,Akeal Hosein,WI,443,"443 v Australia, 26/07/2021",1972-10-06
65,Tom Curran,ENG,436,"443 v Sri Lanka, 04/07/2021",1972-10-06
66,Safyaan Sharif,SCO,436,"542 v England, 10/06/2018",1972-10-06
67,Suranga Lakmal,SL,436,"594 v Bangladesh, 25/01/2018",1972-10-06
68,Ashton Agar,AUS,436,"436 v West Indies, 26/07/2021",1972-10-06
69,Taskin Ahmed,BAN,434,"456 v Sri Lanka, 28/03/2017",1972-10-06
70,Anrich Nortje,SA,429,"436 v Sri Lanka, 02/09/2021",1972-10-06
71,Sikandar Raza,ZIM,424,"494 v UAE, 16/04/2019",1972-10-06
72,Bilal Khan,OMA,422,"422 v Namibia, 27/11/2021",1972-10-06
73,Saurabh Netravalkar,USA,419,"419 v Oman, 20/09/2021",1972-10-06
74,Josh Davey,SCO,418,"436 v UAE, 15/12/2019",1972-10-06
75,Kane Richardson,AUS,416,"448 v India, 17/01/2020",1972-10-06
76,Sean Williams,ZIM,413,"474 v Sri Lanka, 30/06/2017",1972-10-06
77,Ben Stokes,ENG,410,"474 v New Zealand, 03/07/2019",1972-10-06
78,Alasdair Evans,SCO,408,"421 v England, 10/06/2018",1972-10-06
79,Shardul Thakur,IND,405,"411 v England, 28/03/2021",1972-10-06
80,Craig Young,IRE,405,"421 v South Africa, 16/07/2021",1972-10-06
81,Dhananjaya de Silva,SL,401,"412 v Bangladesh, 23/05/2021",1972-10-06
82,Sandeep Lamichhane,NEP,400,"400 v Oman, 19/09/2021",1972-10-06
83,Rubel Hossain,BAN,400,"514 v Pakistan, 01/12/2011",1972-10-06
84,Gulbadin Naib,AFG,399,"472 v Ireland, 21/05/2019",1972-10-06
85,Chad Soper,PNG,397,"399 v Oman, 26/09/2021",1972-10-06
86,Hardik Pandya,IND,394,"552 v South Africa, 16/02/2018",1972-10-06
87,Mitchell Marsh,AUS,390,"511 v New Zealand, 04/12/2016",1972-10-06
88,Wayne Parnell,SA,387,"550 v West Indies, 28/01/2015",1972-10-06
89,Barry McCarthy,IRE,385,"448 v West Indies, 09/01/2020",1972-10-06
90,Fred Klaassen,NED,383,"383 v South Africa, 26/11/2021",1972-10-06
91,Nosaina Pokana,PNG,380,"384 v Oman, 26/09/2021",1972-10-06
92,Marcus Stoinis,AUS,377,"426 v England, 25/06/2019",1972-10-06
93,Michael Leask,SCO,374,"382 v Papua New Guinea, 29/09/2021",1972-10-06
94,Taijul Islam,BAN,374,"397 v Zimbabwe, 06/03/2020",1972-10-06
95,Mohammad Nawaz,PAK,370,"376 v South Africa, 07/04/2021",1972-10-06
96,Assad Vala,PNG,370,"370 v Oman, 01/10/2021",1972-10-06
97,Lakshan Sandakan,SL,370,"383 v Bangladesh, 25/05/2021",1972-10-06
98,Donald Tiripano,ZIM,362,"373 v Pakistan, 03/11/2020",1972-10-06
99,Oshane Thomas,WI,355,"419 v Australia, 06/06/2019",1972-10-06
100,Kyle Jamieson,NZ,352,"352 v Bangladesh, 26/03/2021",1972-10-06
